Name,Description,Code,Audit Examiner,Audit Supervisor,Claims Adjuster,Community Admin,Forms Admin,Integration Admin,Loss Control,Premium Auditor,Processor,Producer,Producer Clerical,Producer Code - Basics,Producer Code - Cancellations,Producer Code - Policy Changes,Producer Code - Renewals,Producer Code - Submissions,Rating Analyst,Rating Supervisor,Reinsurance Admin,Reinsurance Manager,Reporting Admin,Rule Admin,Superuser,Tools View,Underwriter,Underwriter Assistant,Underwriting Supervisor,User Admin
Edit Lock Override,Permission to override the edit lock,editlockoverride,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,x,
Edit non-renew explanation,Permission to edit non-renew explanation,editnonrenewexp,x,x,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
Edit policy change,Permission to edit a policy change,editpolchange,,,,,,,,,,x,,,,x,,,,,,,,,x,,x,x,x,
Edit policy roles,Permission to edit policy roles,editpolicyroles,x,x,,,,,,x,,,,x,,,,,,,,,,,x,,x,x,x,
Edit pre-renewal,Permission to edit pre-renewal,editprerenewal,,,,,,,,,,,,x,,,,,,,,,,,x,,x,x,x,
Edit Rate as of Date,Permission to view and edit the Rate as of Date,editrateasofdate,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,
Edit rate and premium overrides,Permission to edit the premium overrides screens and any field that is used to set a discretionary rate or premium.,editratingoverrides,x,x,,,,,,x,,,,,,,,,,,,,,,x,,x,,x,
Edit reinstatement,Permission to edit a reinstatement,editreinstate,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,x,
Edit active RI programs,Permission to edit active reinsurance programs,editreinsuranceactiveprogram,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,
Edit fac agreements,Permission to edit facultative agreements,editreinsurancefacagreement,,,,,,,,,,,,,,,,,,,x,x,,,x,,x,,x,
Edit RI policies advanced,Permission to edit advanced reinsurance fields for policies,editreinsuranceforpolicyadvanced,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,
Edit RI policies basic,Permission to edit basic reinsurance fields for policies,editreinsuranceforpolicybasic,,,,,,,,,,,,,,,,,,,,x,,,x,,x,,x,
Edit RI programs,Permission to edit reinsurance programs,editreinsuranceprogram,,,,,,,,,,,,,,,,,,,x,x,,,x,,,,,
Edit renewal,Permission to edit a renewal,editrenewal,,,,,,,,,,x,,,,,x,,,,,,,,x,,x,x,x,
Edit rewrite,Permission to edit rewrite,editrewrite,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,x,
Edit rewrite new account,Permission to edit rewrite new account,editrewrnewacct,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,x,
Edit sensitive docs,Permission to edit a sensitive doc,editsensdoc,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,
Edit sensitive notes,Permission to edit a sensitive note,editsensnote,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,
Edit submission,Permission to edit a submission,editsubmission,,,,,,,,,,x,,,,,,x,,,,,,,x,,x,x,x,
Edit written date,Permission to edit the written date of a PolicyPeriod,editwrittendate,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,x,
View event messages,Permission to view the event messages page,eventmessageview,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,
Manage export masks,"Permission to create, edit, or delete export masks",exportmasksmanage,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Create form pattern,Permission to create form patterns,formpatcreate,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,
Delete form pattern,Permission to delete form patterns,formpatdelete,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,
Edit form pattern,Permission to edit form patterns,formpatedit,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,
View form pattern,Permission to view the list of form patterns or form pattern details,formpatview,,,,,x,,,,,,,,,,,,,,,,,,x,,x,x,x,
Generate stat report,Permission to generate stat report,genstatrep,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create groups,Permission to create groups,groupcreate,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,x
Delete groups,Permission to delete groups,groupdelete,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,x
Edit groups,Permission to edit groups,groupedit,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,x
View group tree,Permission to see the user/group tree on the Administration tab,grouptreeview,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,x
View groups,Permission to view details of a group,groupview,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,x
Manage holidays,"Permission to create, edit, and delete holidays",holidaymanage,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
View holidays,Permission to view a list of holidays or holiday details,holidayview,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
Administer integration,Permission to administer integration events,integadmin,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,
All internal tools,Permission to access all Internal Tools,internaltools,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Issuing,Permission to issue a policy,issue,,,,,,,,,,x,,,x,x,x,x,,,,,,,x,,x,x,x,
Issue renewal,Permission to issue a renewal,issuerenewal,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,
Copy job,Permission to copy a job,jobcopy,,,,,,,,,,x,,x,,,,,,,,,,,x,,x,x,x,
Print listviews,Permission to print listviews,lvprint,,,x,,,x,,,,,,,,,,,,,,,,,x,,,,,
Manage load factors,Permission to modify the load factors on all users and groups,manageldfctrs,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,x
Merge Accounts,Permission to move all information from one account to another and delete the irrelevant one,mergeaccounts,,,,,,,,,,x,,x,,,,,,,,,,,x,,x,x,x,
Multiple company quote,Ability to see multiple company quotes and select which company to proceed with.,multicompquote,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,
Non-Renewal,Permission to non-renew,nonrenew,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,
Create notes,Permission to add notes,notecreate,x,x,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
Delete notes,Permission to remove notes,notedelete,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,
Edit note,Permission to edit the notes,noteedit,x,x,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
Edit note body,Permission to edit the body of notes,noteeditbody,x,x,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View notes,Permission to view notes,noteview,x,x,x,,,x,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
Flag submission as not-taken,Permission to flag a submission as not-taken,nottakensubmission,,,,,,,,,,x,,x,,,,,,,,,,,x,,x,,x,
Not-Taken renewal,Permission to not-take a renewal,nottakerenewal,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,
Create organization,Permission to create an organization.,orgcreate,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
Delete organization,Permission to delete an organization.,orgdelete,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
Delete externally manageable organization,Permission to delete an externally manageable organization.,orgdeleteex,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
Edit organization agency info,Permission to edit an organization's agency info.,orgeditagency,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
Edit organization basic info,Permission to edit an organization's basic info.,orgeditbasic,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
Edit externally manageable organization basic info,Permission to edit an externally manageable organization's basic info.,orgeditbasicex,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,x
Search for organization,Permission to search for organizations.,orgsearch,x,x,,x,,,,x,,,,,,,,,,,,,,,x,,x,x,x,
View organization agency info,Permission to view an organization's agency information.,orgviewagency,x,x,,x,,,,x,,,,,,,,,,,,,,,x,,x,x,x,
View organization basic info,Permission to view an organization's basic info.,orgviewbasic,x,x,,x,,,,x,,,,,,,,,,,,,,,x,,x,x,x,x
View organization external manageability,Permission to view an organization's external manageability.,orgviewextmgt,,,,x,,,,,,,,,,,,,,,,,,,x,,x,x,x,
Override Billing,Permission to override billing behaviors,overridebilling,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,
View policy change wizard documents,Permission to view the policy change wizard documents page,pchgwizdocs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy change wizard history,Permission to view the policy change history page,pchgwizhist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy change wizard notes,Permission to view the policy change wizard notes page,pchgwiznotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy change wizard prior history,Permission to view the policy change wizard prior history page,pchgwizpriorhist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy change wizard rating inputs,Permission to view the policy change wizard rating inputs page,pchgwizrateinputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy change wizard risk analysis,Permission to view the policy change wizard risk analysis page,pchgwizrisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy change wizard risk history,Permission to view the policy change wizard risk history page,pchgwizriskhist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy change wizard job roles,Permission to view the policy change wizard job roles page,pchgwizroles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy change wizard workplan,Permission to view the policy change wizard workplan page,pchgwizworkplan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy file billing,Permission to view the policy file billing page,pfilebilling,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View policy file claims,Permission to view the policy file claims page,pfileclaims,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy file contacts,Permission to view the policy file contacts page,pfilecontacts,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View policy file details,Permission to view the policy file details page,pfiledetails,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View policy file documents,Permission to view the policy file documents page,pfiledocs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy file notes,Permission to view the policy file notes page,pfilenotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy file payments,Permission to view the policy file payments page,pfilepayments,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View policy file pricing,Permission to view the policy file pricing page,pfilepricing,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View policy file prior history,Permission to view the policy file prior history page,pfilepriorhist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy file rating inputs,Permission to view the policy file rating inputs page,pfilerateinputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy file risk evaluation,Permission to view the policy file risk evaluation page,pfileriskeval,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy file participants,Permission to view the policy file partipants page page,pfileroles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View policy file summary,Permission to view the policy file summary page,pfilesummary,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
View policy file work orders,Permission to view the policy file work orders page,pfileworkorders,x,x,x,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
Create policy hold,Permission to create policy holds,polholdcreate,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,
Edit policy hold,Permission to edit policy holds,polholdedit,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,
Delete policy hold,Permission to delete policy holds,polholdelete,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,
View policy hold,Permission to view the list of policy holds or policy hold details,polholdview,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,
Manually price policy,Permission to manually price a policy,price,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create producer code,Permission to create a producer code.,prodcodecreate,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
Delete producer code,Permission to delete a producer code.,prodcodedelete,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
Edit producer code address,Permission to edit a producer code's address.,prodcodeeditaddr,,,,x,,,,,,,,,,,,,,,,,,,x,,x,x,x,x
Edit producer code basic info,Permission to edit a producer code's basic info.,prodcodeeditbasic,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
Edit producer code preferred underwriter,Permission to edit a producer code's preferred underwriter.,prodcodeeditprefuw,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
View producer code basic info,Permission to view a producer code's basic info.,prodcodeviewbasic,x,x,,x,,,,x,,,,,,,,,,,,,,,x,,x,x,x,x
